anonyme_Source,anonyme_Target,Weight
32379,70949,6
58772,86428,7
51391,85619,6
76775,79090,6
99599,22341,10
106128,98945,12
36674,54699,5
8260,9335,7
107068,43530,6
56440,5971,21
56304,40913,14
48346,95136,5
1661,12750,6
9185,22341,8
96113,8533,6
70898,43893,6
66220,19227,5
10199,46610,5
10680,33595,6
81236,79487,5
20355,81225,7
88921,12511,6
4833,28950,9
53545,53545,9
48598,72302,6
26312,94705,5
13833,66614,5
16567,34759,5
68582,105984,7
75610,35594,5
27442,109662,10
37406,21668,5
94385,32273,7
20023,73724,5
16343,67369,5
70208,70799,5
48448,56874,9
106690,79467,9
45873,70596,5
90921,95136,9
5100,35594,5
66857,28811,6
88114,40913,6
23910,92572,6
12309,29276,8
87441,23220,5
98126,44829,7
78340,8032,5
112864,76236,10
111717,41934,5
13443,112654,9
12246,82030,9
47295,28793,5
96093,19227,5
13327,66474,11
33259,88591,10
18472,55457,6
34789,46481,5
24697,89561,8
28104,86428,7
75722,93059,7
107328,31318,7
69312,82312,5
42736,11550,5
23784,23196,8
106845,22500,6
5894,36640,8
67680,76124,7
90879,109134,9
86565,99351,5
12898,103436,8
91533,66474,6
31760,32417,9
101748,63190,11
37827,103436,5
38496,20688,5
48096,37757,6
62193,93059,7
12134,63098,8
44096,50668,6
96160,83672,6
17661,22767,5
20738,82402,9
41700,86428,9
95217,70974,8
95119,70974,5
25444,45715,7
64131,109683,12
72522,3175,7
32572,23092,11
87059,103436,9
72790,70974,5
58287,93059,14
38331,53067,10
68515,37757,11
42505,88307,7
78347,70974,5
94949,104530,9
105326,8728,6
100949,29329,7
8511,19330,5
94322,23092,5
27117,67339,5
62933,37825,7
72338,33567,5
100017,93059,14
51986,37757,6
17910,93081,9
37197,37757,7
88679,22341,7
34117,56720,15
59643,110976,6
21755,8728,16
82257,40913,5
74012,111281,5
71613,19752,7
20280,37757,8
109941,111656,7
43212,101337,5
71250,86428,12
18391,22209,6
13022,15270,6
88438,66048,8
34096,76934,5
58672,58817,5
103248,62082,7
29533,58316,5
13511,86428,5
33260,16136,10
977,51403,5
20031,4189,7
30349,48208,8
38863,30585,10
89713,109889,8
5656,70974,5
62363,51703,5
107250,26510,5
26116,45584,5
107125,78398,12
87040,64948,10
36098,36098,7
25779,8533,5
10842,86428,13
51935,54370,5
95809,1578,5
103450,10501,6
12594,56720,6
97859,37757,5
4156,66263,6
107914,100224,7
60138,75205,9
75449,70799,6
10039,29942,7
17398,39479,15
24361,47010,6
84538,3196,6
87798,3196,7
34330,3196,6
1380,10436,8
44905,7884,5
34075,99018,5
45122,66263,6
13450,54133,9
20261,102612,6
53540,43530,11
112691,83824,20
10319,100500,5
5864,66263,5
31653,59993,5
5377,75205,6
64202,47859,5
111688,56111,5
52404,105348,8
96657,36859,5
61323,8533,5
111883,97014,7
60587,33150,7
74929,66786,6
47201,90739,5
101720,56720,19
102806,86420,10
76590,67369,5
92509,70805,7
62863,14762,6
48892,45890,14
35591,53378,5
65956,19898,5
37666,40913,5
40562,38080,5
23065,72702,5
12940,31753,6
107618,26335,6
54586,3566,6
66023,35796,5
92846,94705,6
65344,56720,6
38221,10194,7
67540,67256,5
97028,6723,6
83800,47929,5
89310,89251,8
32692,43530,6
96407,79921,6
47481,25013,5
4677,21597,5
5877,82784,5
83247,96164,6
96834,77824,5
88521,81349,6
25342,43467,5
83848,20278,6
25319,67442,6
17310,4791,7
98299,1578,8
18971,77824,5
3358,110485,5
23794,88591,9
63509,93059,6
74253,100029,5
48672,22062,9
28922,89561,6
47689,53603,5
36425,7110,5
76817,111029,9
55400,7090,5
68207,108974,10
100522,86428,5
43920,19752,6
43212,23003,7
67348,19898,5
89425,78398,15
37641,50225,5
19922,42763,5
91292,14762,6
67363,67363,35
58874,93059,9
54498,7272,10
95233,90190,7
882,38993,10
1839,94354,11
63004,66135,5
74885,71175,5
82452,91790,7
13799,66135,17
94143,73481,6
12548,111281,5
77896,15005,5
21887,62916,5
79364,21122,6
18367,94554,5
87941,44150,5
55615,54370,15
21049,111432,5
107541,37757,5
20988,12511,7
87197,28442,5
93434,104998,5
97151,16029,6
52041,43893,5
40905,43530,6
5579,86622,5
91187,60240,5
3848,1578,12
61964,96819,5
67820,28793,5
79749,6550,5
87883,43987,6
56455,8342,5
59507,8178,16
94845,84715,8
89923,23003,7
35533,22588,6
55717,8379,6
94812,3390,5
111213,51897,5
101616,88591,10
48189,101613,6
7630,105947,6
47122,102612,5
30408,109048,5
84492,22588,7
80988,66644,5
30895,16136,6
80852,66135,5
50951,28555,5
79310,66263,5
76350,4949,5
9338,109048,5
13139,103436,5
41229,37757,5
79051,3196,5
12410,56130,9
111399,107208,10
73157,12511,8
64867,39014,5
98848,82014,7
15396,54370,5
44833,37757,6
89632,59081,6
64034,82312,6
94981,78398,5
94521,23003,5
112372,107208,5
26392,22341,8
40427,65965,5
94725,83545,6
11885,26335,6
88090,58392,6
61353,98881,6
34772,63069,5
7202,66263,6
106279,4016,6
47528,102922,8
240,66263,5
18504,23003,7
29801,86428,8
38771,53951,8
96599,5622,5
63824,51070,5
3393,87980,7
88520,88140,6
107150,7671,6
20628,49099,7
40078,94703,6
107518,79586,7
92865,92865,6
107914,93278,7
2526,84100,17
80315,94705,5
78417,12511,5
74681,66614,5
92722,18354,5
85870,59967,5
84661,45523,7
38559,16465,7
88543,36776,7
108837,8533,8
50906,51047,6
77524,3040,6
6856,103436,5
92669,35157,7
89520,56874,5
20567,56874,5
11018,86428,6
49901,88591,7
10032,29158,6
60386,39245,7
14990,2661,5
52329,110470,5
30778,82784,8
91135,63074,8
51037,7844,6
15880,63027,5
96820,78677,6
91622,80110,5
100497,103436,63
42773,107016,8
80769,104621,7
50617,50617,28
75176,42517,6
96859,96859,5
92533,39550,6
23615,100766,10
40961,38209,6
54608,89239,9
63296,22341,43
15871,16776,13
98569,45812,11
70712,77540,5
949,14434,33
